"Table 2b: Publicly available electric vehicle rapid charging or above devices by local authority per 100,000 population, from October 2019 [Note 1, 3, 5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This worksheet contains 1 table. Some cells refer to notes which can be found on the notes worksheet.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local authority / region code,Local authority / region name,"Oct-19
(25kW and above)","Jan-20
(25kW and above)","Apr-20
(25kW and above)","Jul-20
(25kW and above)","Oct-20
(25kW and above)","Jan-21
(25kW and above)","Apr-21
(25kW and above)","July-21
(25kW and above)","Oct-21
(25kW and above)","Jan-22
(25kW and above)","Apr-22
(25kW and above)","July-22
(25kW and above)","Oct-22
(25kW and above)","Jan-23
(25kW and above)","Apr-23
(25kW and above)","Jul-23
(25kW and above)
[Note 4]","Oct-23
(50kW and above)
[Note 4]","Jan-24
(50kW and above)","Apr-24
(50kW and above)","Jul-24
(50kW and above)","Oct-24
(50kW and above) [Note 14]","Jan-25
(50kW and above)",Apr-25 (50kW and above),Jul-25 (50kW and above),Oct-25 (50kW and above),Jan-26 (50kW and above)  [Note 16],Apr-26 (50kW and above),,,,,
E07000214,Surrey Heath,4.5,5.6,7.9,9.0,9.0,9.0,9.0,10.1,10.1,10.1,10.1,11.2,11.2,11.0,8.8,11.0,11.0,11.0,14.3,15.3,15.3,16.4,17.5,18.6,20.8,20.1,24.3,,,,,
E07000215,Tandridge,6.9,6.9,6.9,6.8,9.1,9.1,9.1,6.8,9.0,10.2,10.2,10.2,10.2,10.2,11.3,12.5,12.5,14.7,19.3,14.7,14.7,15.8,15.8,16.9,15.8,15.5,15.5,,,,,
E07000216,Waverley,2.4,3.2,3.2,3.2,3.2,3.2,4.0,4.7,5.5,5.5,6.3,7.9,7.9,7.8,7.8,9.3,9.3,10.1,10.1,11.5,11.5,12.3,12.3,12.3,12.3,11.2,10.4,,,,,
E07000217,Woking,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9,1.9,1.9,1.9,1.9,1.9,2.9,2.9,4.8,4.8,4.8,19.9,19.9,,,,,
E10000032,West Sussex,2.4,2.7,2.8,3.2,3.7,4.5,5.0,4.7,5.2,6.1,6.3,6.8,6.8,6.7,7.9,8.1,8.6,14.6,16.4,16.7,17.5,18.6,19.9,20.6,21.6,23.9,25.9,,,,,
E07000223,Adur,0.0,1.6,3.1,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,4.7,6.2,6.2,7.7,6.2,6.2,13.9,13.9,13.9,13.9,24.7,23.2,23.2,27.8,33.9,30.8,,,,,
E07000224,Arun,0.6,0.6,0.6,0.6,1.2,1.2,2.5,2.5,2.5,2.5,3.1,4.3,4.3,4.2,4.8,4.8,6.7,6.7,8.5,10.2,10.8,11.4,9.6,10.2,13.8,15.9,15.9,,,,,
E07000225,Chichester,3.3,3.3,2.5,5.0,5.8,7.4,7.4,6.6,9.1,9.1,9.9,9.9,9.9,9.6,9.6,10.4,9.6,11.2,10.4,10.3,10.3,10.3,15.1,15.1,15.9,14.7,17.8,,,,,
E07000226,Crawley,4.4,4.4,5.3,5.3,5.3,9.8,12.5,12.4,12.4,18.7,18.7,18.7,17.8,16.0,16.0,16.0,16.0,33.7,37.1,36.8,43.5,44.3,46.0,49.4,48.5,46.0,52.4,,,,,
E07000227,Horsham,2.1,2.8,2.8,2.8,4.2,4.2,3.5,2.7,3.4,2.7,2.7,4.1,4.1,4.7,6.1,4.7,6.1,8.1,9.5,9.4,8.7,8.7,10.8,10.8,10.8,21.1,23.8,,,,,
E07000228,Mid Sussex,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,3.3,7.2,7.8,7.8,21.6,26.2,26.5,25.8,26.5,27.1,27.8,27.8,28.4,30.9,,,,,
E07000229,Worthing,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,4.5,4.5,4.5,4.5,4.5,5.4,8.1,8.1,9.0,9.9,9.8,9.8,9.8,13.4,13.4,13.4,14.1,14.1,,,,,
E12000009,South West,3.9,4.4,4.9,4.9,5.4,6.1,6.4,6.6,7.5,7.9,8.3,9.0,9.8,10.6,11.8,13.2,14.2,17.0,20.2,22.5,23.9,25.1,27.2,29.0,30.6,31.3,32.6,,,,,
E06000022,Bath and North East Somerset,0.5,0.5,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.5,1.5,3.1,3.1,4.2,5.7,10.4,9.9,9.9,10.9,10.7,9.2,9.2,9.2,10.2,11.8,11.0,13.0,,,,,
E06000058,"Bournemouth, Christchurch and Poole",3.5,4.5,4.8,4.8,5.3,5.8,5.6,5.8,6.0,6.8,8.1,9.6,10.3,12.0,11.0,11.7,15.7,17.7,16.7,19.2,21.1,21.9,25.9,24.1,24.1,26.2,28.9,,,,,
E06000023,"Bristol, City of",3.0,3.5,4.1,4.3,4.1,3.9,4.1,4.9,5.6,6.9,6.9,6.7,7.3,7.9,8.5,8.9,8.7,9.3,10.8,11.3,12.1,15.4,14.6,16.5,17.5,17.4,18.2,,,,,
E06000052,Cornwall,4.8,4.9,4.8,4.7,4.9,5.8,6.0,5.9,7.7,7.8,8.4,8.7,9.2,9.8,11.9,12.8,14.3,21.0,26.6,27.6,28.2,28.3,27.6,27.8,28.5,29.1,30.2,,,,,
E06000059,Dorset,2.1,2.9,3.2,3.2,3.7,4.0,4.5,5.0,5.5,6.1,7.1,6.8,7.6,8.9,10.0,11.0,14.7,15.2,18.9,20.4,22.2,23.0,24.5,27.7,32.4,34.6,35.1,,,,,
E06000053,Isles of Scilly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[x],,,,,
E06000024,North Somerset,7.9,8.9,9.3,10.7,12.1,12.1,12.1,13.0,13.0,13.5,13.9,14.4,14.8,15.2,14.7,15.2,15.6,17.5,20.2,20.1,20.5,19.6,21.4,22.4,21.9,21.4,22.7,,,,,
E06000026,Plymouth,1.5,2.7,2.7,2.7,3.1,3.1,3.1,3.4,3.4,3.4,3.0,3.0,3.0,3.0,4.2,4.2,3.8,11.0,12.5,13.9,25.9,32.2,36.3,39.0,41.2,47.8,48.9,,,,,
E06000066,Somerset (from April 2023),[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],10.8,12.0,13.4,16.8,16.3,19.4,19.4,20.8,22.0,23.9,25.0,26.2,,,,,
E06000025,South Gloucestershire,5.0,6.4,8.5,8.1,8.4,9.8,10.2,14.2,18.4,19.1,21.5,21.9,25.4,25.8,27.5,29.9,31.0,33.4,51.6,50.9,51.9,45.1,52.2,48.5,48.5,51.6,54.8,,,,,
E06000030,Swindon,2.3,3.2,4.5,4.5,5.0,5.0,5.9,5.4,5.4,7.2,9.0,9.4,10.3,9.8,10.3,12.8,15.4,17.1,17.1,18.7,19.1,20.8,22.1,30.6,33.5,32.0,29.9,,,,,
E06000027,Torbay,1.5,1.5,2.2,2.2,3.7,3.7,3.7,3.7,3.7,3.7,3.7,5.1,5.1,5.0,5.0,5.7,7.9,8.6,10.0,10.0,10.0,15.8,17.2,17.9,17.9,23.6,25.0,,,,,
E06000054,Wiltshire,3.0,3.2,3.2,3.2,3.4,7.4,7.8,7.7,8.7,8.9,9.5,10.1,9.7,12.7,14.4,15.2,17.5,18.7,21.6,24.4,26.9,27.9,31.2,35.7,35.5,33.0,33.8,,,,,
E10000008,Devon,5.0,5.5,6.0,6.0,7.2,7.7,8.1,7.8,8.6,8.5,8.6,10.7,12.0,12.6,15.7,18.4,16.9,23.9,28.6,31.2,30.3,32.6,33.9,37.0,39.2,40.1,41.6,,,,,
E07000040,East Devon,5.5,5.5,5.5,5.5,6.8,7.5,8.9,8.8,11.5,11.5,11.5,11.5,11.5,11.2,13.8,17.1,18.4,27.6,26.3,32.4,25.9,32.4,29.8,38.2,44.7,51.8,51.2,,,,,
E07000041,Exeter,5.4,6.1,7.7,7.6,7.6,7.6,7.6,6.8,7.5,6.8,7.5,18.0,21.0,20.9,33.3,31.7,15.5,54.9,59.5,66.7,67.4,74.8,74.8,78.6,77.1,75.1,79.5,,,,,
E07000042,Mid Devon,9.8,9.8,9.8,9.7,14.6,14.6,15.8,14.4,15.6,15.6,15.6,18.0,22.8,22.8,22.8,22.8,22.8,22.8,22.8,22.7,25.1,27.5,31.0,32.2,32.2,27.1,29.4,,,,,
E07000043,North Devon,3.1,4.2,6.2,6.2,6.2,6.2,6.2,6.1,7.1,7.1,7.1,7.1,9.2,14.1,17.1,20.1,20.1,20.1,20.1,19.9,19.9,25.9,33.8,40.8,40.8,41.5,42.5,,,,,
E07000044,South Hams,1.2,1.2,1.2,1.1,1.1,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,4.5,5.6,3.4,1.1,3.4,3.4,5.6,6.7,14.5,14.5,14.5,14.5,14.1,16.3,,,,,
E07000045,Teignbridge,0.8,0.8,0.8,0.7,2.2,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,4.4,17.0,22.2,22.2,35.5,35.3,34.6,22.1,24.3,25.7,25.0,26.7,28.1,,,,,
E07000046,Torridge,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.7,8.7,8.7,8.7,8.7,8.7,8.8,8.8,10.2,10.2,10.2,10.2,10.2,8.7,10.2,8.7,5.8,4.4,8.6,8.6,,,,,
E07000047,West Devon,10.8,14.4,14.4,14.3,17.9,17.9,17.9,17.8,17.8,17.8,17.8,19.6,19.6,19.1,19.1,19.1,22.6,5.2,33.1,32.7,32.7,32.7,36.1,36.1,56.7,52.6,52.6,,,,,
E10000013,Gloucestershire,6.6,6.9,7.1,7.2,7.8,8.0,8.0,7.3,7.5,7.6,6.7,7.8,8.7,9.0,9.6,11.3,11.3,11.3,10.8,21.5,21.9,24.4,29.1,30.7,33.9,32.6,35.0,,,,,
E07000078,Cheltenham,2.6,2.6,2.6,2.6,4.3,4.3,6.0,5.2,5.2,5.2,4.3,4.3,4.3,4.2,5.0,10.1,10.1,10.1,9.3,10.9,10.9,11.7,15.1,19.3,22.6,18.9,26.3,,,,,
E07000079,Cotswold,4.5,4.5,4.5,4.5,5.6,5.6,5.6,3.3,3.3,3.3,3.3,3.3,7.8,8.8,8.8,12.1,12.1,9.9,9.9,9.9,13.1,15.3,19.7,21.9,21.9,21.8,24.0,,,,,
E07000080,Forest of Dean,1.2,2.3,2.3,2.3,3.5,4.6,4.6,4.6,3.4,3.4,3.4,3.4,4.6,4.6,6.9,6.9,8.0,8.0,8.0,17.1,14.8,14.8,13.6,14.8,26.2,23.4,23.4,,,,,
E07000081,Gloucester,4.6,5.4,6.2,7.0,7.0,7.0,7.0,6.9,8.5,8.5,8.5,9.3,10.0,9.8,9.8,9.8,9.1,9.1,9.1,9.7,12.7,12.7,12.7,13.5,15.7,19.5,19.5,,,,,
E07000082,Stroud,21.0,21.0,21.0,20.8,20.8,20.8,19.2,19.0,19.0,19.0,14.9,18.2,18.2,19.7,19.7,20.6,20.6,20.6,18.9,56.8,55.2,71.4,90.9,90.1,91.7,85.9,88.3,,,,,
E07000083,Tewkesbury,3.2,3.2,3.2,3.2,3.2,3.2,3.2,2.1,2.1,3.1,3.1,5.2,5.2,4.2,5.2,6.3,6.3,8.4,8.4,20.6,20.6,13.4,13.4,15.5,17.5,18.6,20.6,,,,,
E10000027,Somerset (abolished April 2023),2.3,3.0,3.4,3.7,3.9,4.3,5.0,5.1,6.2,6.7,7.3,7.6,8.0,8.7,9.8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000187,Mendip (abolished April 2023),3.5,4.4,4.4,4.3,4.3,5.2,5.2,5.2,5.2,6.9,8.6,8.6,10.3,10.3,10.3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000188,Sedgemoor (abolished April 2023),4.1,4.1,4.9,4.9,4.9,4.9,5.7,5.7,5.7,5.7,4.1,5.7,5.7,9.5,11.9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000246,Somerset West and Taunton (abolished April 2023),1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,5.1,5.8,7.7,7.7,7.7,7.0,8.2,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
E07000189,South Somerset (abolished April 2023),1.2,3.0,3.6,4.8,5.3,5.9,7.7,8.3,8.3,8.3,8.3,8.3,8.3,8.7,9.2,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],,,,,
W92000004,Wales,1.8,2.3,2.5,2.7,2.9,3.2,3.6,4.4,5.0,5.3,5.8,6.7,7.0,9.1,11.3,12.2,13.5,14.2,17.9,18.7,19.7,20.3,22.1,24.0,25.5,25.7,26.1,,,,,
W06000001,Isle of Anglesey,4.3,4.3,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,5.7,13.1,14.5,14.5,13.1,13.1,14.5,14.5,14.5,11.6,13.0,33.3,33.3,33.3,36.2,,,,,
W06000002,Gwynedd,0.0,1.6,1.6,2.4,2.4,2.4,2.4,2.4,2.4,3.2,4.0,5.6,5.6,4.3,6.0,10.3,11.1,12.0,14.5,16.2,17.9,17.0,16.2,23.8,24.7,24.0,28.1,,,,,
W06000003,Conwy,0.0,0.0,0.9,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,2.5,2.6,2.6,1.7,4.4,4.4,4.4,4.4,4.4,4.4,4.4,6.1,6.1,6.1,8.7,,,,,
W06000004,Denbighshire,6.3,7.3,7.3,8.4,6.3,8.4,8.4,8.3,8.3,8.3,8.3,18.6,18.6,20.8,22.9,30.2,35.4,36.4,40.6,41.4,43.5,37.3,35.2,35.2,36.3,36.7,37.7,,,,,
W06000005,Flintshire,1.9,1.9,1.9,1.9,2.6,2.6,2.6,7.7,7.7,7.7,7.7,8.9,8.9,8.4,8.4,9.7,9.7,9.7,14.8,29.6,27.7,20.6,26.4,26.4,26.4,24.4,28.9,,,,,
W06000006,Wrexham,1.5,1.5,1.5,1.5,1.5,1.5,4.4,4.4,5.9,5.1,5.1,5.1,5.9,7.4,9.6,11.1,11.1,10.4,9.6,9.6,8.1,14.8,19.2,20.7,21.4,21.0,21.0,,,,,
W06000023,Powys,0.8,0.8,0.8,0.8,1.5,1.5,2.3,2.3,2.3,2.3,2.3,2.3,4.5,10.5,8.2,11.2,11.2,14.2,15.7,17.2,20.9,21.7,21.7,21.7,20.9,28.1,28.9,,,,,
W06000008,Ceredigion,2.7,2.7,4.1,4.1,4.1,4.1,5.5,5.5,13.7,13.7,15.1,15.1,15.1,15.6,17.0,34.0,35.4,35.4,35.4,41.9,36.3,37.7,36.3,40.5,51.7,51.0,41.3,,,,,
W06000009,Pembrokeshire,1.6,1.6,1.6,1.6,1.6,4.0,4.0,3.9,3.9,3.9,3.9,5.5,7.1,17.0,12.9,17.0,17.8,22.6,30.7,30.6,32.2,33.0,33.0,33.0,32.2,32.6,31.0,,,,,
W06000010,Carmarthenshire,2.1,3.2,3.2,3.2,3.7,3.7,3.7,4.2,4.2,5.3,5.8,8.4,8.4,13.8,26.0,22.3,22.8,28.2,37.2,38.1,40.7,37.5,43.9,43.4,51.8,48.2,48.2,,,,,
W06000011,Swansea,1.6,1.6,1.6,1.6,2.8,2.8,2.8,2.4,3.7,3.7,6.1,6.5,6.5,8.8,16.8,9.7,9.7,8.8,23.5,24.9,19.5,20.3,24.9,29.4,32.7,31.4,31.4,,,,,
W06000012,Neath Port Talbot,0.7,0.7,0.7,0.7,1.4,2.8,3.5,4.2,4.2,4.2,4.2,5.5,5.5,7.0,10.6,10.6,9.9,9.9,9.9,9.8,8.4,11.3,8.4,7.7,7.7,7.7,7.0,,,,,
W06000013,Bridgend,6.9,6.9,6.9,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.8,6.9,12.3,13.0,13.0,13.0,17.8,19.2,19.2,19.2,24.6,32.8,32.9,32.5,31.2,,,,,
W06000014,The Vale of Glamorgan,1.5,1.5,2.3,2.2,3.0,3.0,3.7,3.7,7.4,7.4,10.3,10.3,10.3,10.6,10.6,12.1,15.8,11.3,17.4,12.7,16.5,22.5,22.5,21.7,21.7,21.4,20.6,,,,,
W06000015,Cardiff,2.7,2.7,3.3,3.3,3.3,3.3,3.8,8.1,8.4,8.4,8.4,8.9,9.8,10.0,10.8,10.3,12.5,17.0,18.1,17.7,22.0,20.4,20.2,20.7,20.7,26.3,25.8,,,,,
W06000016,Rhondda Cynon Taf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.8,0.8,1.2,1.7,2.9,3.4,3.8,3.4,5.1,5.4,6.7,9.6,14.2,15.5,15.5,11.1,10.3,,,,,
W06000024,Merthyr Tydfil,0.0,0.0,1.7,1.7,1.7,1.7,1.7,1.7,1.7,3.3,3.3,3.3,3.3,3.4,3.4,3.4,10.2,5.1,8.5,8.5,11.9,10.2,10.2,8.5,10.2,10.2,11.9,,,,,
W06000018,Caerphilly,0.0,1.1,1.7,2.2,2.8,2.8,3.3,3.9,3.9,3.9,3.9,3.9,4.4,5.7,4.5,5.1,7.4,5.1,7.4,5.7,7.9,7.9,7.9,8.5,9.1,9.0,9.0,,,,,
W06000019,Blaenau Gwent,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,4.3,4.3,9.0,4.5,4.5,10.4,7.5,11.9,7.5,11.9,16.4,16.4,19.4,19.4,19.2,22.1,,,,,
W06000020,Torfaen,0.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,2.1,2.1,2.1,2.1,2.2,3.2,3.2,5.4,4.3,7.6,5.4,6.5,14.0,15.1,18.3,18.3,17.0,17.0,,,,,
W06000021,Monmouthshire,2.1,3.2,3.2,3.2,4.2,4.2,4.2,3.2,4.2,4.2,4.2,4.2,4.2,7.5,7.5,22.5,18.2,18.2,19.3,19.2,20.2,24.5,26.6,30.9,35.2,32.7,40.0,,,,,
W06000022,Newport,3.9,5.9,5.9,5.8,5.8,7.1,7.8,8.3,8.9,12.1,13.4,13.4,13.4,18.2,23.8,23.8,27.6,29.4,29.4,31.0,33.4,35.9,37.8,36.5,40.3,42.3,42.9,,,,,
S92000003,Scotland,7.5,8.3,8.9,8.9,9.3,10.0,11.0,12.0,12.5,12.9,13.6,14.2,15.1,17.3,18.4,19.2,18.8,21.4,24.2,26.1,28.6,29.0,34.0,37.5,37.0,33.9,37.8,,,,,
S12000033,Aberdeen City,6.2,5.7,6.6,6.6,6.6,7.0,10.5,10.5,10.5,10.9,10.9,11.8,11.4,17.1,15.8,14.9,15.8,19.3,22.9,25.9,30.8,30.8,37.0,41.5,42.8,34.5,38.4,,,,,
S12000034,Aberdeenshire,5.7,5.7,5.7,5.7,5.7,6.1,6.5,6.9,6.9,7.7,8.4,8.4,8.4,9.9,10.7,10.7,8.4,8.4,15.6,16.7,18.6,16.3,20.5,20.5,20.1,24.1,24.5,,,,,
S12000041,Angus,10.3,10.3,12.9,13.8,13.8,14.6,19.8,21.6,20.7,20.7,21.6,22.4,19.0,23.3,23.3,23.3,25.0,25.8,33.6,33.1,31.4,34.9,32.3,34.0,34.0,40.9,40.9,,,,,
S12000035,Argyll & Bute,15.1,15.1,18.5,19.8,21.0,21.0,23.3,23.4,23.4,23.4,24.6,24.6,24.6,30.2,29.0,27.8,20.9,30.2,31.3,31.8,35.3,37.5,38.7,42.1,39.8,39.9,58.2,,,,,
S12000036,City of Edinburgh,3.3,3.5,3.5,2.9,2.7,2.7,4.2,4.5,4.5,4.9,5.3,5.5,10.4,12.0,13.9,15.0,16.1,16.5,16.9,17.7,17.9,20.0,24.5,28.4,26.6,23.9,31.5,,,,,
S12000005,Clackmannanshire,1.9,1.9,3.9,3.9,3.9,5.8,5.8,5.8,5.8,5.8,5.8,7.8,7.8,7.8,9.7,9.7,9.7,11.6,11.6,17.4,11.6,9.7,9.7,9.7,9.7,9.6,26.9,,,,,
S12000006,Dumfries & Galloway,16.1,16.1,17.5,17.5,18.8,18.8,20.2,20.9,21.6,21.6,21.6,21.6,21.6,24.2,25.5,28.9,26.9,31.6,47.7,50.1,66.5,66.5,65.9,67.9,67.2,66.5,67.9,,,,,
S12000042,Dundee City,26.2,26.2,27.6,26.1,26.1,27.5,27.5,28.9,28.9,28.2,28.2,28.2,28.9,37.9,39.3,38.6,42.0,42.6,40.6,44.5,53.9,47.9,55.3,72.8,69.4,68.1,74.1,,,,,
S12000008,East Ayrshire,7.4,9.8,13.1,13.1,13.1,13.1,13.9,14.0,14.0,14.8,14.8,14.8,14.8,15.6,14.8,15.6,14.8,15.6,17.2,22.4,17.4,20.8,31.6,32.4,30.7,31.3,34.6,,,,,
S12000045,East Dunbartonshire,2.8,2.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,2.8,2.8,2.8,7.3,7.3,7.3,8.3,7.3,11.9,20.2,21.1,18.2,19.1,,,,,
S12000010,East Lothian,10.4,9.5,14.2,14.0,15.9,17.7,17.7,21.3,21.3,22.2,22.2,25.0,25.9,24.6,25.6,26.5,26.5,36.5,37.4,37.3,39.1,36.5,35.6,30.2,32.9,25.2,26.0,,,,,
S12000011,East Renfrewshire,6.3,6.3,6.3,6.3,8.4,6.3,7.3,7.3,7.3,7.3,8.3,8.3,7.3,8.3,9.3,8.3,7.2,14.5,22.8,22.6,22.6,14.4,14.4,20.6,19.6,16.0,18.0,,,,,
S12000014,Falkirk,3.1,3.7,3.7,6.2,6.8,6.8,6.8,6.9,6.9,7.5,7.5,7.5,7.5,9.3,14.3,14.3,11.2,14.3,14.9,15.8,15.1,15.1,20.2,20.2,19.6,20.6,21.9,,,,,
S12000047,Fife,4.0,4.0,4.0,4.0,4.0,4.0,4.3,4.5,4.8,5.1,5.1,5.6,6.9,7.2,7.2,6.9,8.5,9.9,9.9,12.1,15.6,17.5,21.3,21.8,20.7,20.3,22.1,,,,,
S12000049,Glasgow City,2.9,3.5,3.7,3.6,3.8,3.8,3.8,3.8,3.8,5.3,7.7,8.3,9.4,11.0,10.5,11.8,12.3,13.2,15.6,16.1,17.3,22.8,34.5,41.1,38.5,29.5,33.7,,,,,
S12000017,Highland,22.1,22.9,23.4,24.6,25.0,31.4,31.4,33.6,34.4,35.3,37.0,37.8,38.2,46.6,49.1,50.0,45.8,49.1,49.6,53.0,53.0,51.8,58.1,57.3,56.4,48.0,54.4,,,,,
S12000018,Inverclyde,2.6,2.6,2.6,5.1,5.1,5.1,5.1,6.5,6.5,6.5,6.5,6.5,5.2,3.9,5.2,6.5,10.4,11.7,23.5,38.3,39.6,40.8,47.2,56.2,70.2,76.1,77.3,,,,,
S12000019,Midlothian,7.7,8.8,8.8,8.7,8.7,8.7,10.8,12.9,12.9,12.9,14.0,14.0,14.0,18.0,18.0,18.0,16.9,20.1,23.2,21.6,21.6,28.9,27.8,27.8,27.8,26.0,28.0,,,,,
S12000020,Moray,6.3,7.3,7.3,7.3,7.3,7.3,7.3,8.4,8.4,8.4,9.4,10.4,11.5,15.6,16.6,15.6,14.5,14.5,15.6,15.9,17.0,15.9,15.9,15.9,15.9,15.8,14.7,,,,,
S12000013,Na h-Eileanan Siar,33.5,29.8,29.8,26.2,26.2,26.2,26.2,26.4,26.4,26.4,26.4,26.4,26.4,37.5,37.5,37.5,26.3,30.0,41.3,45.9,57.4,53.6,68.9,72.7,72.7,69.2,111.5,,,,,
S12000021,North Ayrshire,7.4,8.1,8.1,8.9,8.9,11.1,13.4,13.4,13.4,13.4,13.4,13.4,11.9,14.9,15.6,16.4,14.2,15.6,15.6,22.5,24.7,24.7,30.0,39.7,34.5,31.3,35.1,,,,,
S12000050,North Lanarkshire,4.7,8.8,8.8,8.8,9.7,11.1,13.8,16.7,20.5,21.1,21.7,22.3,21.4,21.1,23.1,25.8,28.1,31.6,36.9,35.8,36.7,34.9,39.3,41.9,41.4,41.8,45.0,,,,,
S12000023,Orkney Islands,18.0,27.0,27.0,31.4,31.4,31.4,31.4,40.2,44.6,44.6,49.1,49.1,53.6,44.4,66.5,66.5,44.4,44.4,48.8,50.0,50.0,18.2,18.2,22.7,50.0,50.0,40.9,,,,,
S12000048,Perth & Kinross,20.5,21.8,23.1,21.7,24.4,24.4,24.4,27.0,29.0,29.6,29.6,30.3,34.2,35.8,37.1,38.4,34.5,43.6,43.6,51.6,55.6,52.9,54.3,57.6,57.6,54.4,60.2,,,,,
S12000038,Renfrewshire,6.7,7.3,8.4,8.4,8.9,8.9,10.1,11.7,11.7,11.7,11.7,11.7,12.8,15.0,20.0,20.6,17.8,19.5,18.9,23.9,25.0,24.4,36.9,47.7,47.2,43.9,46.5,,,,,
S12000026,Scottish Borders,10.4,13.0,13.9,13.9,13.9,14.7,16.4,16.5,17.4,17.4,17.4,17.4,17.4,15.5,19.8,20.7,12.1,19.0,23.3,24.8,28.2,26.5,31.7,28.2,30.8,28.2,25.6,,,,,
S12000027,Shetland Islands,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,8.7,26.2,26.2,26.2,21.8,26.2,26.2,26.1,26.1,21.7,34.8,39.1,39.1,34.5,64.7,,,,,
S12000028,South Ayrshire,6.2,7.1,6.2,6.2,6.2,8.9,10.7,10.7,10.7,10.7,10.7,13.4,14.3,16.0,16.0,15.1,16.0,16.9,16.9,17.0,22.4,27.8,34.1,35.9,35.9,26.7,32.1,,,,,
S12000029,South Lanarkshire,5.6,5.6,6.3,6.2,6.2,7.5,9.7,13.4,14.0,14.0,14.6,17.1,19.3,20.8,22.6,25.4,23.6,24.8,28.8,30.2,40.0,38.2,37.3,40.3,41.8,37.1,37.7,,,,,
S12000030,Stirling,14.8,19.1,20.1,19.1,19.1,19.1,19.1,21.3,25.5,24.4,25.5,25.5,26.6,28.9,27.8,30.0,28.9,31.0,31.0,30.3,43.2,40.0,49.7,62.7,61.6,59.4,64.7,,,,,
S12000039,West Dunbartonshire,2.2,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,6.8,6.8,6.8,8.0,8.0,10.3,26.2,29.6,37.6,43.0,32.9,27.2,38.5,40.8,40.8,33.7,40.4,,,,,
S12000040,West Lothian,2.2,2.7,2.7,2.7,3.8,4.4,4.9,4.9,4.9,5.4,5.4,6.0,7.1,9.2,9.2,9.7,12.4,17.2,21.0,21.5,21.5,29.2,31.9,29.2,28.1,22.5,27.4,,,,,
N92000002,Northern Ireland,1.0,1.0,1.0,1.0,1.2,1.1,1.1,1.1,1.1,1.2,1.3,1.1,1.2,1.4,1.9,3.0,2.9,4.1,7.0,7.9,8.0,8.6,9.9,9.8,10.8,11.0,11.3,,,,,
N09000001,Antrim and Newtownabbey,1.4,1.4,1.4,1.4,1.4,2.1,2.1,2.8,2.8,2.8,2.8,2.8,2.8,2.7,2.7,4.1,2.7,3.4,8.2,9.6,10.3,10.3,12.3,11.6,16.4,16.9,16.9,,,,,
N09000011,Ards and North Down,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,3.7,3.7,8.5,9.1,9.7,9.7,9.7,12.8,14.0,11.5,11.5,,,,,
N09000002,"Armagh City, Banbridge and Craigavon",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.9,0.9,0.5,0.5,0.5,0.5,1.8,1.4,2.3,2.7,4.5,3.2,3.2,9.1,8.6,9.5,9.0,9.9,,,,,
